auction id,kick timestamp,kick block,last bid block,lot,tab,number of bids,final lot,final bid,final price,discount OSM,ETH price OSM,discount uniswap,ETH price uniswap,winner,dealer,vault owner, kicker, kick gas price (wei), last bid gas price (wei),last bid timestamp, deal gas price (wei), deal timestamp
1,1574101539,8957937,8957988,299.964000000000000000,   59.449,1,299.964000000000000000,59.449411495508701975225986291097795926757334097,0.1981884876035414,0.2466659559744127,0.263081815,0.2442563373183918,0.26224300300489245,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xf7875Ca244ef64b2a7E88555381F7f5c3BD273F7,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,10000000000,15000000000,1574101563,10000000000,1574102241
2,1574358612,8975727,8975791,1500.000000000000000000,  293.890,2,1500.000000000000000000,286.245447020263770000000000000000000000000000000,0.19083029801350918,0.1272800375040188,0.21866154805,0.1482074820650234,0.2240337805222147,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x2ca164cdBdB73BB63e3B6F2194a6d0af9B947250,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,20000000000,30000000000,1574358951,20000000000,1574359684
3,1575270769,9036800,9036851,1537.000000000000000000,  218.139,2,1360.290365077584066891,218.139430460097886902183906247681826484847021807,0.16036240207263125,0.14423921241343862,0.18739162205,0.15343699676304612,0.18942760486752058,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x3b08bde70687eBf4151431fB144EE4495be53494,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,11000000000,22500000000,1575271008,12000000000,1575271685
4,1575450782,9048533,9048609,1338.000000000000000000,  186.548,2,1176.806582162966817030,186.548904917537882718013383176342978642434368685,0.1585212963158836,0.1428528906722815,0.1849405949,0.15380269675847458,0.1873337290353403,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x479a3E26B6f2D9923EE102d13c663E3D8C496633,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,12000000000,20700000000,1575451093,12000000000,1575451755
5,1575947718,9080914,9080976,760.898559455525468460,  101.796,2,676.760231385435375510,101.796164159510531034016287406348259051485283860,0.15041688243281914,0.15231937821578245,0.17744522945,0.15382808961721225,0.17776161154389322,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x030eDF38DA3cD8DF8c79BB511F2840f69Eab4849,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,7000000000,12000000000,1575948051,7000000000,1575948843
6,1575994922,9084044,9088682,50000.000000000000000000, 6664.881,2,44830.817329698824037804,6664.881944106918884342381321236337956653103405488,0.14866741989313836,0.17073344930966092,0.1792757947,0.16708358515854857,0.17849020291122217,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x145Fd587F4dE99c074Df87A8DE19BDdcA69b60ab,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,10000000000,30000000000,1576066244,8000000000,1576066997
7,1575995183,9084059,9088682,17914.041068092846784769, 2387.899,2,16088.428553983561372969,2387.899377214436766728775879803975357457688112679,0.14842340687295918,0.1720945534151399,0.1792757947,0.1684506799133265,0.17849020291122217,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x145Fd587F4dE99c074Df87A8DE19BDdcA69b60ab,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,10000000000,12000000000,1576066148,8000000000,1576066997
8,1576170114,9095437,9095514,205.519000000000000000,   40.829,1,205.519000000000000000,30.240275096253452483270000000000000000000000000,0.14714101906029833,0.15532765292933584,0.17419893,0.15382936123198973,0.17389048061810514,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xD30CcAB8f9eDaa16eFe1C3A16EA881763C832809,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,6000000000,37050000000,1576170414,6000000000,1576171156
9,1576170114,9095437,9095514,190.000000000000000000,   33.987,1,190.000000000000000000,27.956793621456682700000000000000000000000000000,0.14714101906029833,0.15532765292933584,0.17419893,0.15382936123198973,0.17389048061810514,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x2eCAa3Df5910D8e844f6D53797b51be95999e8fc,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,6000000000,37050000000,1576170414,6000000000,1576171156
10,1576170114,9095437,9095514,209.613428280773143437,   29.175,2,198.279735724400110154,29.175082373494872308803349832050759943572175234,0.14714101906029833,0.15532765292933584,0.17419893,0.15382936123198973,0.17389048061810514,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xf60AE1a382eF7f6014Db8Ce58c5b42594C4Fe330,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,6000000000,37050000000,1576170446,6000000000,1576171156
11,1576170114,9095437,9095514,200.000000000000000000,   28.295,2,192.300381017930453382,28.295274028661936015597390063824113506482088329,0.14714101906029833,0.15532765292933584,0.17419893,0.15382936123198973,0.17389048061810514,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x284878BC7C76e1232E3be41EA11237C4401fb188,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,6000000000,37050000000,1576170446,6000000000,1576171156
12,1576170114,9095437,9095514,200.000000000000000000,   33.964,1,200.000000000000000000,29.428203812059666000000000000000000000000000000,0.14714101906029833,0.15532765292933584,0.17419893,0.15382936123198973,0.17389048061810514,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xefFDDf8bd96Ef754159591592Ae79d323CAa020e,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,6000000000,37050000000,1576170414,6000000000,1576171156
13,1576170114,9095437,9095514,131.990000000000000000,   22.658,1,131.990000000000000000,19.421143105768776576700000000000000000000000000,0.14714101906029833,0.15532765292933584,0.17419893,0.15382936123198973,0.17389048061810514,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x8661Fd559e1D445a51e61b747c7220e2f44d6B96,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,6000000000,37050000000,1576170414,6000000000,1576171156
14,1576613572,9122205,9122476,2190.714992625032758049,  269.823,2,2103.814840281972618768,269.823506975331763771217646090666313986970261397,0.1282543985378331,0.17657309401684299,0.1557568712,0.15460108108026208,0.15170873260840964,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x05fFC23973a6C393b10663Efd2D9f4A06A3CF1e3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576617260,10000000000,1576618150
15,1576616960,9122415,9122476,4187.883647490000000000,  509.819,2,3975.062307019089399755,509.819225337144489249801783327744279604859056997,0.12825439853783308,0.17657309401684315,0.1557568712,0.15460108108026227,0.15170873260840964,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x93948Da34BFfDF120FC4a0f93777d0899D6d1166,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576617260,10000000000,1576618150
16,1576616960,9122415,9122476,50000.000000000000000000, 6074.522,2,47363.070532978092913106,6074.522124112070556767446600244850472666903328204,0.1282543985378331,0.17657309401684299,0.1557568712,0.15460108108026208,0.15170873260840964,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576617249,10000000000,1576618150
17,1576616960,9122415,9122476,1900.000000000000000000,  226.700,2,1767.585347189945005709,226.700595568133259802395812119841353025489079746,0.12825439853783308,0.17657309401684315,0.1557568712,0.15460108108026227,0.15170873260840964,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x9c33b75E32A169f766562D04C1b09a532Ece0fF1,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576617260,10000000000,1576618150
18,1576616960,9122415,9122476,190.000000000000000000,   22.661,2,176.694454779313346223,22.661841022691178906109083292341957826655248812,0.12825439853783308,0.17657309401684315,0.1557568712,0.15460108108026227,0.15170873260840964,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x2e496E6bA52e26950970c6FBc353AC959aEb0aBa,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576617260,10000000000,1576618150
19,1576617205,9122426,9122476,1059.261418020000000000,  124.683,2,972.156804706985342785,124.683386272156060052311333714683539324668776824,0.12825439853783308,0.17657309401684315,0.1557568712,0.15460108108026227,0.15170873260840964,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x771521220d34fAC9E0fA544Ff3A02C890340B504,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576617260,10000000000,1576618150
20,1576617552,9122441,9122500,50000.000000000000000000, 6074.526,2,47300.644068842641805374,6074.526483213418953769903910780019083576298121664,0.12842375833978895,0.1754857596305585,0.1557568712,0.15964967107151054,0.15282169104823104,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576617681,10000000000,1576618609
21,1576617552,9122441,9122500,3000.000000000000000000,  357.057,2,2780.309128687891988869,357.057747652523017820989898921564641767760239501,0.12842375833978895,0.1754857596305585,0.1557568712,0.15964967107151054,0.15282169104823104,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0x3f21683062aF1B9F88c5Da1572E057C38a5c32E8,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576617681,10000000000,1576618609
